Age,Income,Saving (Cash),Property owner,Other asset,Counts,Percent
26.0, <=50K,3.0,1.0,0.0,32,0.1%
20.0, <=50K,1.0,0.0,1.0,32,0.1%
30.0, <=50K,0.0,0.0,0.0,32,0.1%
33.0, <=50K,1.0,1.0,0.0,32,0.1%
27.0, <=50K,3.0,0.0,1.0,32,0.1%
33.0, <=50K,1.0,1.0,1.0,32,0.1%
31.0, <=50K,1.0,1.0,0.0,32,0.1%
31.0, <=50K,3.0,1.0,0.0,32,0.1%
28.0, <=50K,2.0,1.0,0.0,32,0.1%
22.0, <=50K,0.0,0.0,0.0,32,0.1%
34.0, <=50K,3.0,0.0,1.0,32,0.1%
26.0, <=50K,2.0,1.0,1.0,32,0.1%
28.0, <=50K,1.0,0.0,0.0,32,0.1%
21.0, <=50K,4.0,0.0,0.0,31,0.1%
21.0, <=50K,3.0,0.0,1.0,31,0.1%
29.0, <=50K,4.0,1.0,1.0,31,0.1%
27.0, <=50K,0.0,1.0,0.0,31,0.1%
28.0, <=50K,1.0,1.0,0.0,31,0.1%
43.0, <=50K,2.0,1.0,1.0,31,0.1%
38.0, <=50K,5.0,1.0,1.0,31,0.1%
38.0, <=50K,2.0,1.0,0.0,31,0.1%
30.0, <=50K,4.0,0.0,1.0,31,0.1%
29.0, <=50K,3.0,0.0,0.0,31,0.1%
41.0, <=50K,5.0,0.0,1.0,31,0.1%
23.0, <=50K,0.0,0.0,1.0,31,0.1%
20.0, <=50K,0.0,0.0,0.0,31,0.1%
25.0, <=50K,3.0,1.0,0.0,31,0.1%
22.0, <=50K,0.0,0.0,1.0,31,0.1%
26.0, <=50K,1.0,1.0,0.0,31,0.1%
21.0, <=50K,4.0,1.0,0.0,31,0.1%
19.0, <=50K,3.0,1.0,0.0,31,0.1%
19.0, <=50K,0.0,0.0,1.0,31,0.1%
19.0, <=50K,4.0,1.0,1.0,31,0.1%
46.0, <=50K,2.0,0.0,1.0,31,0.1%
19.0, <=50K,0.0,0.0,0.0,31,0.1%
36.0, <=50K,2.0,1.0,1.0,31,0.1%
26.0, <=50K,5.0,0.0,0.0,31,0.1%
36.0, <=50K,2.0,0.0,1.0,31,0.1%
36.0, <=50K,5.0,1.0,0.0,31,0.1%
25.0, <=50K,1.0,1.0,1.0,31,0.1%
35.0, <=50K,1.0,1.0,1.0,30,0.09%
41.0, <=50K,0.0,0.0,0.0,30,0.09%
29.0, <=50K,1.0,0.0,0.0,30,0.09%
35.0, <=50K,0.0,0.0,1.0,30,0.09%
33.0, <=50K,0.0,0.0,0.0,30,0.09%
25.0, <=50K,1.0,0.0,0.0,30,0.09%
24.0, <=50K,5.0,0.0,0.0,30,0.09%
18.0, <=50K,2.0,0.0,0.0,30,0.09%
27.0, <=50K,1.0,1.0,1.0,30,0.09%
34.0, <=50K,2.0,0.0,1.0,30,0.09%
35.0, <=50K,4.0,1.0,0.0,30,0.09%
34.0, <=50K,3.0,1.0,0.0,30,0.09%
31.0, <=50K,4.0,1.0,0.0,30,0.09%
31.0, <=50K,1.0,0.0,0.0,30,0.09%
24.0, <=50K,5.0,0.0,1.0,30,0.09%
36.0, <=50K,3.0,0.0,1.0,30,0.09%
32.0, <=50K,5.0,0.0,1.0,30,0.09%
36.0, <=50K,4.0,1.0,1.0,30,0.09%
18.0, <=50K,5.0,0.0,0.0,30,0.09%
19.0, <=50K,3.0,0.0,0.0,30,0.09%
42.0, <=50K,5.0,0.0,1.0,30,0.09%
32.0, <=50K,3.0,1.0,1.0,30,0.09%
20.0, <=50K,2.0,0.0,0.0,30,0.09%
30.0, <=50K,0.0,1.0,1.0,30,0.09%
32.0, <=50K,5.0,1.0,0.0,30,0.09%
21.0, <=50K,0.0,0.0,0.0,30,0.09%
21.0, <=50K,5.0,0.0,1.0,30,0.09%
21.0, <=50K,1.0,0.0,1.0,30,0.09%
20.0, <=50K,1.0,0.0,0.0,30,0.09%
20.0, <=50K,3.0,1.0,1.0,29,0.09%
35.0, <=50K,0.0,1.0,0.0,29,0.09%
30.0, <=50K,2.0,1.0,0.0,29,0.09%
22.0, <=50K,4.0,0.0,0.0,29,0.09%
32.0, <=50K,4.0,1.0,0.0,29,0.09%
21.0, <=50K,2.0,1.0,0.0,29,0.09%
18.0, <=50K,2.0,1.0,0.0,29,0.09%
33.0, <=50K,1.0,0.0,1.0,29,0.09%
31.0, <=50K,3.0,0.0,0.0,29,0.09%
19.0, <=50K,5.0,0.0,0.0,29,0.09%
30.0, <=50K,2.0,0.0,1.0,29,0.09%
34.0, <=50K,2.0,0.0,0.0,29,0.09%
20.0, <=50K,3.0,0.0,1.0,29,0.09%
34.0, <=50K,2.0,1.0,0.0,29,0.09%
32.0, <=50K,2.0,0.0,1.0,29,0.09%
26.0, <=50K,4.0,1.0,1.0,29,0.09%
32.0, <=50K,1.0,0.0,0.0,29,0.09%
26.0, <=50K,5.0,0.0,1.0,29,0.09%
32.0, <=50K,1.0,0.0,1.0,29,0.09%
37.0, <=50K,3.0,1.0,1.0,29,0.09%
34.0, <=50K,5.0,1.0,1.0,29,0.09%
21.0, <=50K,1.0,1.0,0.0,29,0.09%
21.0, <=50K,3.0,1.0,1.0,29,0.09%
28.0, <=50K,3.0,0.0,0.0,29,0.09%
20.0, <=50K,3.0,1.0,0.0,29,0.09%
29.0, <=50K,1.0,1.0,0.0,29,0.09%
36.0, <=50K,0.0,1.0,0.0,29,0.09%
33.0, <=50K,5.0,1.0,1.0,29,0.09%
39.0, <=50K,3.0,0.0,1.0,29,0.09%
24.0, <=50K,2.0,0.0,1.0,29,0.09%
25.0, <=50K,2.0,1.0,1.0,29,0.09%
27.0, <=50K,5.0,1.0,0.0,29,0.09%
25.0, <=50K,0.0,0.0,0.0,29,0.09%
23.0, <=50K,4.0,0.0,1.0,29,0.09%
29.0, <=50K,2.0,0.0,1.0,29,0.09%
25.0, <=50K,4.0,0.0,0.0,29,0.09%
46.0, <=50K,4.0,0.0,0.0,29,0.09%
30.0, <=50K,3.0,0.0,0.0,29,0.09%
18.0, <=50K,3.0,0.0,0.0,29,0.09%
42.0, <=50K,3.0,0.0,1.0,29,0.09%
31.0, <=50K,5.0,1.0,1.0,29,0.09%
23.0, <=50K,5.0,0.0,0.0,29,0.09%
27.0, <=50K,4.0,0.0,1.0,28,0.09%
25.0, <=50K,0.0,0.0,1.0,28,0.09%
26.0, <=50K,2.0,1.0,0.0,28,0.09%
29.0, <=50K,5.0,0.0,1.0,28,0.09%
26.0, <=50K,3.0,1.0,1.0,28,0.09%
18.0, <=50K,0.0,0.0,1.0,28,0.09%
26.0, <=50K,4.0,0.0,1.0,28,0.09%
27.0, <=50K,5.0,0.0,0.0,28,0.09%
22.0, <=50K,1.0,1.0,1.0,28,0.09%
19.0, <=50K,5.0,0.0,1.0,28,0.09%
34.0, <=50K,5.0,1.0,0.0,28,0.09%
31.0, <=50K,3.0,1.0,1.0,28,0.09%
41.0, <=50K,3.0,1.0,1.0,28,0.09%
21.0, <=50K,3.0,0.0,0.0,28,0.09%
31.0, <=50K,0.0,0.0,1.0,28,0.09%
18.0, <=50K,4.0,1.0,1.0,28,0.09%
28.0, <=50K,5.0,0.0,0.0,28,0.09%
20.0, <=50K,4.0,0.0,1.0,28,0.09%
33.0, <=50K,4.0,1.0,1.0,28,0.09%
36.0, <=50K,1.0,0.0,1.0,28,0.09%
27.0, <=50K,3.0,1.0,0.0,28,0.09%
35.0, <=50K,2.0,0.0,1.0,28,0.09%
25.0, <=50K,4.0,0.0,1.0,28,0.09%
19.0, <=50K,0.0,1.0,1.0,28,0.09%
35.0, <=50K,0.0,1.0,1.0,28,0.09%
19.0, <=50K,0.0,1.0,0.0,28,0.09%
38.0, <=50K,2.0,0.0,0.0,28,0.09%
19.0, <=50K,1.0,0.0,0.0,28,0.09%
28.0, <=50K,2.0,1.0,1.0,28,0.09%
31.0, <=50K,5.0,1.0,0.0,28,0.09%
33.0, <=50K,4.0,0.0,1.0,28,0.09%
20.0, <=50K,4.0,1.0,0.0,28,0.09%
19.0, <=50K,2.0,0.0,1.0,28,0.09%
31.0, <=50K,5.0,0.0,0.0,28,0.09%
18.0, <=50K,5.0,1.0,1.0,28,0.09%
37.0, <=50K,5.0,1.0,0.0,28,0.09%
34.0, <=50K,0.0,1.0,1.0,27,0.08%
19.0, <=50K,5.0,1.0,1.0,27,0.08%
31.0, <=50K,2.0,0.0,1.0,27,0.08%
21.0, <=50K,0.0,0.0,1.0,27,0.08%
28.0, <=50K,0.0,0.0,0.0,27,0.08%
27.0, <=50K,4.0,0.0,0.0,27,0.08%
27.0, <=50K,3.0,1.0,1.0,27,0.08%
37.0, <=50K,2.0,1.0,1.0,27,0.08%
21.0, <=50K,2.0,1.0,1.0,27,0.08%
32.0, <=50K,4.0,0.0,1.0,27,0.08%
38.0, <=50K,3.0,1.0,1.0,27,0.08%
39.0, <=50K,5.0,1.0,0.0,27,0.08%
40.0, <=50K,0.0,0.0,1.0,27,0.08%
35.0, <=50K,5.0,1.0,1.0,27,0.08%
35.0, <=50K,5.0,0.0,1.0,27,0.08%
30.0, <=50K,4.0,0.0,0.0,27,0.08%
33.0, <=50K,0.0,1.0,1.0,27,0.08%
38.0, <=50K,3.0,1.0,0.0,27,0.08%
33.0, <=50K,1.0,0.0,0.0,27,0.08%
23.0, <=50K,1.0,1.0,1.0,27,0.08%
25.0, <=50K,5.0,0.0,0.0,27,0.08%
45.0, <=50K,5.0,1.0,1.0,27,0.08%
21.0, <=50K,4.0,0.0,1.0,27,0.08%
32.0, <=50K,4.0,1.0,1.0,27,0.08%
36.0, <=50K,1.0,1.0,0.0,27,0.08%
32.0, <=50K,3.0,1.0,0.0,27,0.08%
37.0, <=50K,1.0,0.0,1.0,27,0.08%
21.0, <=50K,5.0,0.0,0.0,27,0.08%
32.0, <=50K,2.0,0.0,0.0,27,0.08%
36.0, <=50K,5.0,0.0,1.0,27,0.08%
28.0, <=50K,4.0,1.0,0.0,27,0.08%
32.0, <=50K,2.0,1.0,1.0,27,0.08%
43.0, <=50K,0.0,1.0,1.0,27,0.08%
26.0, <=50K,2.0,0.0,1.0,27,0.08%
47.0, <=50K,0.0,0.0,1.0,27,0.08%
40.0, <=50K,2.0,1.0,0.0,27,0.08%
40.0, <=50K,1.0,0.0,1.0,27,0.08%
33.0, <=50K,2.0,1.0,0.0,27,0.08%
32.0, <=50K,0.0,0.0,0.0,26,0.08%
32.0, <=50K,5.0,0.0,0.0,26,0.08%
29.0, <=50K,5.0,0.0,0.0,26,0.08%
44.0, <=50K,3.0,0.0,1.0,26,0.08%
32.0, <=50K,0.0,1.0,1.0,26,0.08%
42.0, <=50K,0.0,0.0,0.0,26,0.08%
45.0, <=50K,0.0,1.0,1.0,26,0.08%
29.0, <=50K,0.0,0.0,0.0,26,0.08%
32.0, <=50K,4.0,0.0,0.0,26,0.08%
29.0, <=50K,0.0,1.0,1.0,26,0.08%
35.0, <=50K,4.0,0.0,1.0,26,0.08%
21.0, <=50K,2.0,0.0,0.0,26,0.08%
40.0, <=50K,5.0,0.0,0.0,26,0.08%
20.0, <=50K,0.0,1.0,1.0,26,0.08%
47.0, <=50K,5.0,0.0,1.0,26,0.08%
19.0, <=50K,4.0,1.0,0.0,26,0.08%
36.0, <=50K,0.0,0.0,0.0,26,0.08%
19.0, <=50K,3.0,0.0,1.0,26,0.08%
38.0, <=50K,4.0,1.0,1.0,26,0.08%
39.0, <=50K,2.0,0.0,1.0,26,0.08%
40.0, <=50K,4.0,0.0,1.0,26,0.08%
38.0, <=50K,4.0,0.0,0.0,26,0.08%
40.0, <=50K,4.0,1.0,0.0,26,0.08%
37.0, <=50K,5.0,1.0,1.0,26,0.08%
35.0, <=50K,3.0,1.0,1.0,26,0.08%
24.0, <=50K,3.0,0.0,0.0,26,0.08%
22.0, <=50K,0.0,1.0,1.0,26,0.08%
22.0, <=50K,2.0,1.0,0.0,26,0.08%
25.0, <=50K,5.0,1.0,1.0,26,0.08%
35.0, <=50K,2.0,1.0,0.0,25,0.08%
20.0, <=50K,1.0,1.0,1.0,25,0.08%
24.0, <=50K,3.0,1.0,0.0,25,0.08%
20.0, <=50K,2.0,0.0,1.0,25,0.08%
26.0, <=50K,0.0,1.0,0.0,25,0.08%
36.0, <=50K,3.0,0.0,0.0,25,0.08%
36.0, <=50K,1.0,0.0,0.0,25,0.08%
21.0, <=50K,1.0,0.0,0.0,25,0.08%
36.0, <=50K,1.0,1.0,1.0,25,0.08%
22.0, <=50K,3.0,1.0,1.0,25,0.08%
20.0, <=50K,3.0,0.0,0.0,25,0.08%
22.0, <=50K,5.0,1.0,1.0,25,0.08%
36.0, <=50K,3.0,1.0,0.0,25,0.08%
21.0, <=50K,0.0,1.0,0.0,25,0.08%
46.0, <=50K,1.0,1.0,1.0,25,0.08%
26.0, <=50K,1.0,1.0,1.0,25,0.08%
30.0, <=50K,0.0,0.0,1.0,25,0.08%
18.0, <=50K,1.0,0.0,0.0,25,0.08%
43.0, <=50K,4.0,1.0,1.0,25,0.08%
31.0, <=50K,2.0,1.0,1.0,25,0.08%
37.0, <=50K,3.0,1.0,0.0,25,0.08%
37.0, <=50K,1.0,0.0,0.0,25,0.08%
39.0, <=50K,3.0,0.0,0.0,25,0.08%
27.0, <=50K,5.0,0.0,1.0,25,0.08%
28.0, <=50K,3.0,0.0,1.0,25,0.08%
33.0, <=50K,5.0,0.0,1.0,25,0.08%
18.0, <=50K,1.0,0.0,1.0,25,0.08%
28.0, <=50K,0.0,0.0,1.0,25,0.08%
34.0, <=50K,1.0,1.0,0.0,25,0.08%
34.0, <=50K,2.0,1.0,1.0,25,0.08%
36.0, <=50K,0.0,1.0,1.0,25,0.08%
19.0, <=50K,5.0,1.0,0.0,25,0.08%
42.0, <=50K,1.0,0.0,0.0,25,0.08%
41.0, <=50K,1.0,1.0,0.0,24,0.07%
29.0, <=50K,4.0,0.0,0.0,24,0.07%
29.0, <=50K,3.0,0.0,1.0,24,0.07%
22.0, <=50K,5.0,0.0,1.0,24,0.07%
41.0, <=50K,1.0,0.0,1.0,24,0.07%
32.0, <=50K,2.0,1.0,0.0,24,0.07%
36.0, <=50K,5.0,0.0,0.0,24,0.07%
21.0, <=50K,5.0,1.0,1.0,24,0.07%
20.0, <=50K,2.0,1.0,0.0,24,0.07%
42.0, <=50K,5.0,0.0,0.0,24,0.07%
36.0, <=50K,5.0,1.0,1.0,24,0.07%
30.0, <=50K,1.0,1.0,1.0,24,0.07%
19.0, <=50K,4.0,0.0,0.0,24,0.07%
18.0, <=50K,3.0,1.0,1.0,24,0.07%
43.0, <=50K,3.0,0.0,0.0,24,0.07%
44.0, <=50K,3.0,1.0,0.0,24,0.07%
37.0, <=50K,0.0,0.0,1.0,24,0.07%
17.0, <=50K,1.0,1.0,1.0,24,0.07%
38.0, <=50K,1.0,1.0,1.0,24,0.07%
42.0, <=50K,4.0,1.0,0.0,24,0.07%
35.0, <=50K,3.0,0.0,0.0,24,0.07%
42.0, <=50K,3.0,1.0,0.0,24,0.07%
29.0, <=50K,0.0,0.0,1.0,24,0.07%
40.0, <=50K,0.0,1.0,0.0,24,0.07%
33.0, <=50K,3.0,0.0,0.0,24,0.07%
27.0, <=50K,2.0,0.0,1.0,24,0.07%
42.0, <=50K,0.0,1.0,1.0,24,0.07%
41.0, <=50K,3.0,0.0,0.0,24,0.07%
34.0, <=50K,1.0,0.0,1.0,24,0.07%
34.0, <=50K,1.0,0.0,0.0,24,0.07%
40.0, <=50K,5.0,1.0,0.0,24,0.07%
28.0, <=50K,1.0,0.0,1.0,24,0.07%
39.0, <=50K,5.0,0.0,0.0,24,0.07%
41.0, <=50K,1.0,1.0,1.0,24,0.07%
34.0, <=50K,4.0,0.0,1.0,24,0.07%
34.0, <=50K,3.0,1.0,1.0,24,0.07%
34.0, <=50K,3.0,0.0,0.0,24,0.07%
39.0, <=50K,1.0,0.0,0.0,23,0.07%
19.0, <=50K,1.0,0.0,1.0,23,0.07%
30.0, <=50K,3.0,0.0,1.0,23,0.07%
34.0, <=50K,1.0,1.0,1.0,23,0.07%
28.0, <=50K,0.0,1.0,0.0,23,0.07%
38.0, <=50K,4.0,1.0,0.0,23,0.07%
18.0, <=50K,3.0,0.0,1.0,23,0.07%
38.0, <=50K,3.0,0.0,0.0,23,0.07%
18.0, <=50K,5.0,1.0,0.0,23,0.07%
28.0, <=50K,2.0,0.0,1.0,23,0.07%
30.0, <=50K,5.0,0.0,1.0,23,0.07%
37.0, >50K,1.0,0.0,0.0,23,0.07%
43.0, <=50K,4.0,0.0,0.0,23,0.07%
38.0, <=50K,1.0,0.0,0.0,23,0.07%
43.0, <=50K,4.0,1.0,0.0,23,0.07%
43.0, <=50K,5.0,0.0,0.0,23,0.07%
38.0, <=50K,1.0,0.0,1.0,23,0.07%
31.0, <=50K,2.0,1.0,0.0,23,0.07%
46.0, <=50K,5.0,1.0,0.0,23,0.07%
37.0, <=50K,5.0,0.0,0.0,23,0.07%
34.0, <=50K,0.0,1.0,0.0,23,0.07%
37.0, <=50K,4.0,0.0,0.0,23,0.07%
41.0, <=50K,3.0,1.0,0.0,23,0.07%
41.0, <=50K,0.0,0.0,1.0,23,0.07%
31.0, <=50K,5.0,0.0,1.0,23,0.07%
43.0, <=50K,3.0,1.0,1.0,23,0.07%
37.0, <=50K,0.0,0.0,0.0,23,0.07%
47.0, <=50K,4.0,1.0,1.0,23,0.07%
34.0, <=50K,0.0,0.0,1.0,23,0.07%
39.0, <=50K,2.0,1.0,1.0,23,0.07%
30.0, <=50K,1.0,0.0,1.0,23,0.07%
39.0, <=50K,3.0,1.0,0.0,23,0.07%
45.0, <=50K,1.0,1.0,1.0,23,0.07%
35.0, <=50K,5.0,0.0,0.0,23,0.07%
34.0, <=50K,4.0,1.0,1.0,23,0.07%
50.0, <=50K,3.0,0.0,1.0,23,0.07%
35.0, <=50K,4.0,1.0,1.0,23,0.07%
22.0, <=50K,4.0,1.0,1.0,23,0.07%
35.0, <=50K,2.0,0.0,0.0,23,0.07%
42.0, <=50K,2.0,0.0,1.0,23,0.07%
33.0, <=50K,2.0,0.0,0.0,23,0.07%
32.0, <=50K,3.0,0.0,1.0,23,0.07%
39.0, <=50K,3.0,1.0,1.0,23,0.07%
39.0, <=50K,4.0,0.0,1.0,23,0.07%
40.0, <=50K,2.0,0.0,0.0,23,0.07%
40.0, <=50K,2.0,1.0,1.0,23,0.07%
26.0, <=50K,0.0,0.0,1.0,23,0.07%
26.0, <=50K,2.0,0.0,0.0,23,0.07%
39.0, <=50K,4.0,1.0,1.0,22,0.07%
42.0, <=50K,1.0,1.0,0.0,22,0.07%
42.0, <=50K,1.0,1.0,1.0,22,0.07%
41.0, <=50K,2.0,0.0,1.0,22,0.07%
38.0, <=50K,0.0,1.0,1.0,22,0.07%
38.0, <=50K,0.0,1.0,0.0,22,0.07%
41.0, <=50K,2.0,1.0,1.0,22,0.07%
